1,services,married,secondary,no,0,yes,no,unknown,0,may,0,0,-1,0,unknown
1,blue-collar,single,secondary,no,0,yes,yes,cellular,0,feb,1,0,-1,0,unknown
1,technician,married,secondary,no,1,no,yes,cellular,1,aug,1,0,1,1,success
1,admin.,married,tertiary,no,0,yes,no,cellular,0,jul,1,0,-1,0,unknown
0,management,single,tertiary,no,1,no,no,cellular,0,apr,0,0,-1,0,unknown
1,admin.,divorced,secondary,no,1,yes,no,unknown,0,jun,0,0,-1,0,unknown
1,services,married,secondary,no,1,no,no,unknown,1,jun,1,0,-1,0,unknown
0,blue-collar,single,secondary,no,0,yes,yes,unknown,1,may,1,0,-1,0,unknown
1,unknown,married,primary,no,0,no,no,cellular,0,aug,0,0,-1,0,unknown
1,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,-1,0,unknown
1,technician,married,secondary,no,0,no,no,cellular,1,jul,1,0,-1,0,unknown
0,services,married,secondary,no,0,yes,no,telephone,1,jul,1,1,-1,0,unknown
0,technician,single,tertiary,no,1,yes,no,cellular,0,feb,0,0,-1,0,unknown
0,student,single,secondary,no,0,yes,no,telephone,0,jul,0,0,-1,0,unknown
0,management,married,tertiary,no,1,yes,no,cellular,0,feb,0,0,1,1,other
0,services,married,secondary,no,0,yes,yes,cellular,1,apr,0,0,1,1,other
1,self-employed,divorced,tertiary,no,1,no,no,cellular,0,aug,1,0,-1,0,unknown
0,admin.,single,secondary,no,1,yes,no,unknown,0,may,1,0,-1,0,unknown
0,services,married,secondary,no,1,yes,no,cellular,0,may,1,0,-1,0,unknown
1,management,divorced,tertiary,no,0,no,no,cellular,0,may,0,0,-1,0,unknown
0,admin.,single,tertiary,no,0,no,yes,cellular,1,jul,0,1,-1,0,unknown
1,technician,married,secondary,no,1,yes,yes,cellular,0,aug,0,0,-1,0,unknown
1,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure
1,management,single,tertiary,no,1,no,no,cellular,0,aug,0,0,-1,0,unknown
1,blue-collar,married,secondary,no,0,yes,no,unknown,0,may,1,0,-1,0,unknown
0,management,single,tertiary,no,0,no,no,cellular,1,aug,0,0,-1,0,unknown
0,services,married,secondary,no,0,no,no,cellular,0,sep,1,0,-1,0,unknown
0,management,married,tertiary,no,1,no,no,cellular,1,nov,0,1,-1,0,unknown
0,management,single,tertiary,no,1,no,no,cellular,0,jun,0,0,-1,0,unknown
1,retired,married,secondary,no,0,yes,yes,cellular,0,aug,0,0,-1,0,unknown
0,services,married,secondary,no,1,yes,no,telephone,0,feb,0,0,1,1,failure
0,technician,single,tertiary,no,1,no,no,cellular,1,aug,0,1,-1,0,unknown
1,blue-collar,married,secondary,no,1,no,no,cellular,1,nov,0,0,1,1,failure
1,unknown,divorced,tertiary,no,1,yes,no,unknown,0,may,1,0,-1,0,unknown
0,blue-collar,married,secondary,no,0,yes,yes,cellular,1,nov,0,1,-1,0,unknown
1,blue-collar,married,primary,no,0,yes,no,cellular,1,aug,1,1,-1,0,unknown
0,management,single,tertiary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure
0,management,single,tertiary,no,1,yes,no,cellular,1,apr,1,1,-1,0,unknown
0,technician,single,tertiary,no,1,no,yes,cellular,1,jul,1,0,-1,0,unknown
0,management,single,tertiary,no,1,yes,no,cellular,0,may,1,0,-1,0,unknown
0,blue-collar,single,secondary,no,1,no,no,cellular,1,sep,1,0,1,1,failure
0,services,single,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,success
